Opportunity,Description,Type,Close Date,Status,Link,Eligible Countries,For Female Founders,Sectors of Interest
Mofund Africa,Mofund Africa Impact AcademyAfrica Impact Academy is a program designed in partnership between USIU Africa and MoFund Africa.,Program,"March 9, 2025",Closed,https://ee.kobotoolbox.org/x/4GXadU2ZAnyAgnostic,Any,False,Agnostic
Diaspora 2030,,Competition,"March 9, 2025",Closed,https://diaspora2030.de/en/news/call-for-proposalsCameroonGhanaAgnosticSustainable,"Cameroon, Ghana",False,"Agnostic, Sustainable Development"
https://www.linkedin.com/company/possibleafrica/ & https://www.linkedin.com/company/lafricamobile/ Tech Africa ChallengeA startup competition,"Tech Africa A startup competition where 3 finalists win an all-expenses-paid trip to Lyon, France to pitch at the Zero to One Startup in May 2025.",Competition,"March 10, 2025",Closed,https://www.linkedin.com/company/possibleafrica/,Any,False,Agnostic
The 5th PitchA pitching competition providing,"The 5th PitchA pitching competition providing African founders with up to $2,500 in grants and $10,000 in zero-interest loans to scale their businesses.",Competition,"March 11, 2025",Closed,https://the54thpitch.co.uk/AnyAgnostic,Any,False,Agnostic
FoodTech World,FoodTech World CupThe ultimate tournament to showcase the world’s best startups in nutrition.,Competition,"March 12, 2025",Closed,https://www.hacksummit.co/foodtech-world-cupAnyAgricTech,Any,False,AgricTech
Morgan Stanley,Morgan Stanley Inclusive & Sustainable Ventures LabAn in-house accelerator for early-stage startups led by underrepresented founders or focused on sustainability.,Accelerator,"March 12, 2025",Closed,https://www.morganstanley.com/about-us/inclusive-sustainable-venturesAnyAgnosticSustainable,Any,False,"Agnostic, Sustainable Development"
https://www.linkedin.com/company/innovestafrika/ Ignite AcceleratorAn 8-week remote accelerator program for,"Ignite An 8-week remote accelerator program for early-stage Ghanaian startups, with investment of up to $50,000 for top performers.",Accelerator,"March 14, 2025",Closed,https://www.linkedin.com/company/innovestafrika/,Ghana,False,"Agnostic, Sustainable Development"
RAISEAfrica,"RAISEAfrica Renewables A program supporting African startups in renewable energy with business development, investor connections, and funding opportunities.",Program,"March 14, 2025",Closed,https://form.jotform.com/250141927885059AnyEnergy,Any,False,"AI, Energy"
Visa Accelerator,,Program,"March 15, 2025",Closed,https://forms.office.com/pages/responsepage.aspx?id=W6W6p2M_qEyDzzdvBRzY4iWruH2MnDtIvAMGXAjsgZBUNVVJN0lJMFREQ1pQQUdVNzdBTVo1TVZLTC4u&route=shorturlAnyFinTech,Any,False,FinTech
https://www.linkedin.com/feed/# Paper PlaneA 6-week hybrid program helping African,"Paper PlaneA 6-week hybrid program helping African pre-seed and seed-stage startups expand into the GCC market with investor readiness support, soft-landing guidance, and strategic networking.",Program,"March 16, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,Agnostic
https://www.linkedin.com/feed/# Business Growth Initiative for StartupsA program providing,"Business Growth Initiative for StartupsA program providing mentorship, branding workshops, and business growth support.",Program,"March 17, 2025",Closed,https://www.linkedin.com/feed/#,"Niger, Nigeria",False,Agnostic
https://www.linkedin.com/feed/# Health Innovation ProgrammeA virtual 16-week entrepreneurship program,"Health Innovation meA virtual 16-week entrepreneurship program for African innovators in healthtech, with the chance to attend a bootcamp at Oxford University.",Program,"March 17, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,Healthcare
https://www.linkedin.com/feed/# Prize$50k cash prize for the best deeptech,"$50k cash prize for the best deeptech startups, plus recognition for top African startups.",Competition,"March 20, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,"AI, Deeptech"
https://www.linkedin.com/feed/# Acceleration Programme4-month online accelerator supporting 30 African,Acceleration me4-month online accelerator supporting 30 African women entrepreneurs in scaling their businesses.,Program,"March 20, 2025",Closed,https://www.linkedin.com/feed/#,"Somalia, SSA",True,"Agnostic, AI"
GSMA Innovation,"Selected startups receive up to £250,000 in grant funding, venture-building support, and strategic partnerships.",Grant,"March 21, 2025",Closed,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/gsma-innovation-fund/the-gsma-innovation-fund-for-impactful-ai/?utm_source=multiple&utm_medium=social&utm_campaign=innovation_fund_for_impactful_ai&utm_term=staffAnyClimateAI,Any,False,"Climate, AI"
VivaTech Africa,"Winners receive funding, mentorship, and the opportunity to pitch at VivaTech 2025 in Paris.",Competition,"March 2, 2025",Closed,https://vivatechnology.com/challenges/africatech-awards-2025AnyHealthcareFinTechClimateAgricTechStart,"Any, Algeria, Cameroon, Egypt, Ethiopia, Ghana, Kenya, Morocco, Niger, Nigeria, Somalia, South Africa, SSA, Tunisia",True,"Agnostic, Healthcare, FinTech, Climate, AI, Education, AgricTech, Energy, Recycling, Sustainable Development, Fashion, Orange Economy, Mobility, Deeptech"
VivaTech Africa,"Winners receive funding, mentorship, and the opportunity to pitch at VivaTech 2025 in Paris.",Competition,"March 2, 2025",Closed,https://vivatechnology.com/challenges/africatech-awards-2025AnyHealthcareFinTechClimateAgricTech,Any,False,"Healthcare, FinTech, Climate, AgricTech"
Start Smart,"Start Smart 2025designed to empower your kind of woman with free legal advice, business registration sponsorships, and start-up resources for growth.",Program,"March 5, 2025",Closed,https://docs.google.com/forms/d/1EO81Q5016rwkQjRnkjLbJcpSFG5cZtPVU5sliEac34Q/closedformAgnostic,,True,Agnostic
"https://www.linkedin.com/feed/# Climate Resilience Prize 2025A CHF 100,000 non-dilutive","Climate Resilience 2025A CHF 100,000 non-dilutive cash prize for startups driving climate resilience in food & agriculture, with access to https://www.",Competition,"March 5, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,"Climate, AgricTech"
Swedish Institute,"Swedish Institute She Entrepreneurs 2025A six-month leadership program for women entrepreneurs in Algeria, Egypt, Morocco, Tunisia building sustainable climate solutions.",Program,"March 6, 2025",Closed,https://si.se/en/apply/si-leadership-programmes/she-entrepreneurs/EgyptAlgeriaTunisiaMoroccoAgnostic,"Algeria, Egypt, Morocco, Tunisia",True,Agnostic
"https://www.linkedin.com/company/p4g-partnerships/ GrantsFocusing on climate-smart agriculture, food loss and",,Grant,"March 7, 2025",Closed,https://www.linkedin.com/company/p4g-partnerships/,"Ethiopia, Kenya, South Africa",False,"Climate, AgricTech, Energy, Mobility"
The Forge,"The Forge A 12-month fellowship supporting African founders building high-impact, scalable tech startups.",Accelerator,"March 7, 2025",Closed,https://www.the-nextseed.com/fr/challenges/the-forge-2025?lang=enAnyAgnostic,Any,False,Agnostic
SIA Foundation,"SIA Foundation Startup FoundryA program providing $10,000 in seed funding, mentorship, and access to business support tools for African startups.",Program,"March 7, 2025",Closed,https://siafdn.org/startup-foundry/AnyHealthcareEducationAgricTechEnergyRecycling,Any,False,"Healthcare, Education, AgricTech, Energy, Recycling"
https://www.linkedin.com/feed/# Founders FellowshipA 90-day incubator designed to help,"Founders A 90-day incubator designed to help first-time founders turn ideas into viable tech startups, with expert guidance and a supportive community.",Incubator,"March 7, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,Agnostic
Trailblazer,A startup growth program for early-stage fashion supply chain innovators.,Program,"March 7, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,"Fashion, Orange Economy"
AWN Investment,AWN Investment Readiness for Women-led BusinessesThis programme is designed for women-led businesses seeking support to achieve growth and scalability.,Program,"March 9, 2025",Closed,https://docs.google.com/forms/d/e/1FAIpQLSfNfD14GAOEQ9gSQZiHuF06vFtcTQo7xbR6HKXR9JwlAQgSpw/viewformNigeriaAgnostic,"Niger, Nigeria",True,"Agnostic, AI"
Mofund Africa,Mofund Africa Impact AcademyAfrica Impact Academy is a program designed in partnership between USIU Africa and MoFund Africa.,Program,"March 9, 2025",Closed,https://ee.kobotoolbox.org/x/4GXadU2ZAnyAgnostic,Any,False,Agnostic
Diaspora 2030,,Competition,"March 9, 2025",Closed,https://diaspora2030.de/en/news/call-for-proposalsCameroonGhanaAgnosticSustainable,"Cameroon, Ghana",False,"Agnostic, Sustainable Development"
https://www.linkedin.com/company/possibleafrica/ & https://www.linkedin.com/company/lafricamobile/ Tech Africa ChallengeA startup competition,"Tech Africa A startup competition where 3 finalists win an all-expenses-paid trip to Lyon, France to pitch at the Zero to One Startup in May 2025.",Competition,"March 10, 2025",Closed,https://www.linkedin.com/company/possibleafrica/,Any,False,Agnostic
The 5th PitchA pitching competition providing,"The 5th PitchA pitching competition providing African founders with up to $2,500 in grants and $10,000 in zero-interest loans to scale their businesses.",Competition,"March 11, 2025",Closed,https://the54thpitch.co.uk/AnyAgnostic,Any,False,Agnostic
FoodTech World,FoodTech World CupThe ultimate tournament to showcase the world’s best startups in nutrition.,Competition,"March 12, 2025",Closed,https://www.hacksummit.co/foodtech-world-cupAnyAgricTech,Any,False,AgricTech
Morgan Stanley,Morgan Stanley Inclusive & Sustainable Ventures LabAn in-house accelerator for early-stage startups led by underrepresented founders or focused on sustainability.,Accelerator,"March 12, 2025",Closed,https://www.morganstanley.com/about-us/inclusive-sustainable-venturesAnyAgnosticSustainable,Any,False,"Agnostic, Sustainable Development"
https://www.linkedin.com/company/innovestafrika/ Ignite AcceleratorAn 8-week remote accelerator program for,"Ignite An 8-week remote accelerator program for early-stage Ghanaian startups, with investment of up to $50,000 for top performers.",Accelerator,"March 14, 2025",Closed,https://www.linkedin.com/company/innovestafrika/,Ghana,False,"Agnostic, Sustainable Development"
RAISEAfrica,"RAISEAfrica Renewables A program supporting African startups in renewable energy with business development, investor connections, and funding opportunities.",Program,"March 14, 2025",Closed,https://form.jotform.com/250141927885059AnyEnergy,Any,False,"AI, Energy"
Visa Accelerator,,Program,"March 15, 2025",Closed,https://forms.office.com/pages/responsepage.aspx?id=W6W6p2M_qEyDzzdvBRzY4iWruH2MnDtIvAMGXAjsgZBUNVVJN0lJMFREQ1pQQUdVNzdBTVo1TVZLTC4u&route=shorturlAnyFinTech,Any,False,FinTech
https://www.linkedin.com/feed/# Paper PlaneA 6-week hybrid program helping African,"Paper PlaneA 6-week hybrid program helping African pre-seed and seed-stage startups expand into the GCC market with investor readiness support, soft-landing guidance, and strategic networking.",Program,"March 16, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,Agnostic
https://www.linkedin.com/feed/# Business Growth Initiative for StartupsA program providing,"Business Growth Initiative for StartupsA program providing mentorship, branding workshops, and business growth support.",Program,"March 17, 2025",Closed,https://www.linkedin.com/feed/#,"Niger, Nigeria",False,Agnostic
https://www.linkedin.com/feed/# Health Innovation ProgrammeA virtual 16-week entrepreneurship program,"Health Innovation meA virtual 16-week entrepreneurship program for African innovators in healthtech, with the chance to attend a bootcamp at Oxford University.",Program,"March 17, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,Healthcare
https://www.linkedin.com/feed/# Prize$50k cash prize for the best deeptech,"$50k cash prize for the best deeptech startups, plus recognition for top African startups.",Competition,"March 20, 2025",Closed,https://www.linkedin.com/feed/#,Any,False,"AI, Deeptech"
https://www.linkedin.com/feed/# Acceleration Programme4-month online accelerator supporting 30 African,Acceleration me4-month online accelerator supporting 30 African women entrepreneurs in scaling their businesses.,Program,"March 20, 2025",Closed,https://www.linkedin.com/feed/#,"Somalia, SSA",True,"Agnostic, AI"
GSMA Innovation,"Selected startups receive up to £250,000 in grant funding, venture-building support, and strategic partnerships.",Grant,"March 21, 2025",Closed,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/gsma-innovation-fund/the-gsma-innovation-fund-for-impactful-ai/?utm_source=multiple&utm_medium=social&utm_campaign=innovation_fund_for_impactful_ai&utm_term=staffAnyClimateAI,Any,False,"Climate, AI"
